PrimaryKey,RunID,StockID,Age,TimeStep,Cohort,MatureCohort,StartCohort,WorkingCohort,MidCohort,Shelton.TimeStep,Year.run,Season.run,Year.Season.run,Species,StockVersion,ProductionRegionNumber,ManagementUnitNumber,StockName,StockLongName
3409133,31,9,3,4,372.409066,0,483.68733,392.850849,372.409066,3,1991,.Fall,1991.Fall,CHINOOK,5,2,5,U-SkagFYr,UnMarked Skagit Summer/Fall Year
3409135,31,9,4,2,1262.001154,0.637633,1425.667231,1373.630377,1262.638787,1,1991,.Spr,1991.Spr,CHINOOK,5,2,5,U-SkagFYr,UnMarked Skagit Summer/Fall Year
3409136,31,9,4,3,226.181637,652.132257,1262.001154,1193.474492,878.313894,2,1991,.Sum,1991.Sum,CHINOOK,5,2,5,U-SkagFYr,UnMarked Skagit Summer/Fall Year
3409137,31,9,4,4,126.32684,0,193.629804,169.987605,126.32684,3,1991,.Fall,1991.Fall,CHINOOK,5,2,5,U-SkagFYr,UnMarked Skagit Summer/Fall Year
3409139,31,9,5,2,466.67747,0,554.928194,545.272444,466.67747,1,1991,.Spr,1991.Spr,CHINOOK,5,2,5,U-SkagFYr,UnMarked Skagit Summer/Fall Year
3409140,31,9,5,3,0,375.702971,466.67747,454.543855,375.702971,2,1991,.Sum,1991.Sum,CHINOOK,5,2,5,U-SkagFYr,UnMarked Skagit Summer/Fall Year
3409141,31,9,5,4,192.416104,0,226.181637,212.701212,192.416104,3,1991,.Fall,1991.Fall,CHINOOK,5,2,5,U-SkagFYr,UnMarked Skagit Summer/Fall Year
3409143,31,11,2,2,50.235955,0.058644,54.790823,50.319892,50.294598,1,1991,.Spr,1991.Spr,CHINOOK,5,2,9,U-SkagSpY,UnMarked Skagit Spring Year
3409144,31,11,2,3,43.66609,0.304231,50.235955,44.212664,43.970321,2,1991,.Sum,1991.Sum,CHINOOK,5,2,9,U-SkagSpY,UnMarked Skagit Spring Year
3409145,31,11,2,4,54.790823,0,73.812236,54.790823,54.790823,3,1991,.Fall,1991.Fall,CHINOOK,5,2,9,U-SkagSpY,UnMarked Skagit Spring Year
3409147,31,11,3,2,30.608535,1.915261,34.813734,32.804982,32.523796,1,1991,.Spr,1991.Spr,CHINOOK,5,2,9,U-SkagSpY,UnMarked Skagit Spring Year
3409148,31,11,3,3,22.359393,1.526908,30.608535,27.997627,23.886301,2,1991,.Sum,1991.Sum,CHINOOK,5,2,9,U-SkagSpY,UnMarked Skagit Spring Year
3409149,31,11,3,4,34.042956,0,43.66609,35.465598,34.042956,3,1991,.Fall,1991.Fall,CHINOOK,5,2,9,U-SkagSpY,UnMarked Skagit Spring Year
3409151,31,11,4,2,558.245536,310.57584,935.724457,901.570514,868.821376,1,1991,.Spr,1991.Spr,CHINOOK,5,2,9,U-SkagSpY,UnMarked Skagit Spring Year
3409152,31,11,4,3,156.327904,318.99471,558.245536,527.932804,475.322613,2,1991,.Sum,1991.Sum,CHINOOK,5,2,9,U-SkagSpY,UnMarked Skagit Spring Year
